NAME,DATE,AWND,PRCP,SNOW,SNWD,TAVG,TMAX,TMIN,WSF2,WSF5,WT01,WT02,WT03,WT04,WT05,WT06,WT08,WT09,WT13,WT14,WT16,WT18,WT22
"SEATTLE TACOMA AIRPORT, WA US",12 07 2013,2.2,0,0,0,16.6,19.4,13.3,6.3,7.6,,,,,,,,,,,,,
"SEATTLE TACOMA AIRPORT, WA US",13 07 2013,3.1,0,0,0,16.8,26.1,11.1,6.7,9.4,,,,,,,,,,,,,
"SEATTLE TACOMA AIRPORT, WA US",14 07 2013,3,0,0,0,20.2,27.8,12.8,8.1,9.4,,,,,,,,,,,,,
"SEATTLE TACOMA AIRPORT, WA US",15 07 2013,4.6,0,0,0,21.4,27.8,14.4,7.6,9.8,,,,,,,,,,,,,
"SEATTLE TACOMA AIRPORT, WA US",16 07 2013,4.1,0,0,0,23.9,31.1,18.3,7.6,10.3,,,,,,,,,,,,,
"SEATTLE TACOMA AIRPORT, WA US",17 07 2013,3.7,0,0,0,21.1,22.2,15,7.2,8.9,,,1,,,,,,,,,,
"SEATTLE TACOMA AIRPORT, WA US",18 07 2013,2,0,0,0,18.1,26.1,13.9,5.8,6.7,,,,,,,,,,,,,
"SEATTLE TACOMA AIRPORT, WA US",19 07 2013,1.9,0,0,0,19.1,27.8,13.3,5.4,8.1,,,,,,,,,,,,,
"SEATTLE TACOMA AIRPORT, WA US",20 07 2013,2,0,0,0,18.2,25,13.3,3.6,5.4,,,,,,,,,,,,,
"SEATTLE TACOMA AIRPORT, WA US",21 07 2013,2.3,0,0,0,17.5,23.9,12.8,5.4,7.2,,,,,,,,,,,,,
"SEATTLE TACOMA AIRPORT, WA US",22 07 2013,2.4,0,0,0,18.1,26.1,13.3,7.6,11.2,1,,,,,,,,,,,,
"SEATTLE TACOMA AIRPORT, WA US",23 07 2013,3,0,0,0,20.9,31.1,13.9,7.6,9.4,,,,,,,,,,,,,
"SEATTLE TACOMA AIRPORT, WA US",24 07 2013,2.5,0,0,0,22.5,31.1,14.4,6.3,7.6,,,,,,,,,,,,,
"SEATTLE TACOMA AIRPORT, WA US",25 07 2013,2.3,0,0,0,21.8,31.1,12.8,5.4,7.6,,,,,,,,,,,,,
